,,B27,Chứng từ đường biển,Update trạng thái tàu cho CS,,B27,Chứng từ đường biển,Xác nhận AN và debit note,,B28,Chứng từ đường biển,Xin địa chỉ trả hàng của KH
,,B28,Chứng từ đường biển,Nhận AN ( 1-2 ngày trc ngày tàu dự kiến ) ,,B28,FWD,Gửi hóa đơn vcqt và lcc Việt Nam,,B29,Chứng từ đường biển,Lấy tờ khai thông quan và gửi BCT hoàn chỉnh cho kế toán
,,B29,Chứng từ đường biển,Xác nhận AN và debit note,,B29,Chứng từ đường biển,Giục kế toán TQ thanh toán phí khai báo xuất khẩu,,B30,Chứng từ đường biển,Gửi báo giá 3 cho kế toán chi phí
,,B30,FWD,Gửi hóa đơn vcqt và lcc Việt Nam,,B30,FWD,Làm release,,B31,TBP vận hành,Xin xác nhận giao cont
,,B31,Chứng từ đường biển,Giục kế toán TQ thanh toán phí khai báo xuất khẩu,,B31,Chứng từ đường biển,Làm BCT khai báo nhập,,B32,,
,,B32,FWD,Làm release,,B32,Chứng từ đường biển,Gửi FWD lên tờ khai nháp,,B33,FWD,Gọi xe và giao hàng cho khách
,,B33,Chứng từ đường biển,Làm BCT khai báo nhập,,B33,FWD,Gửi tk nháp cho Chứng từ đường biển,,B34,Chứng từ đường biển,Phát sinh: kết hợp với FWD xử lý
,,B34,Chứng từ đường biển,Gửi FWD lên tờ khai nháp,,B34,Chứng từ đường biển,Gửi CS file hàng và tờ khai nháp,,B35,Chứng từ đường biển,Báo Cs hàng giao thành công
,,B35,FWD,Gửi tk nháp cho Chứng từ đường biển,,B35,CS,"Oki >>> truyền chính thức
Không oki >>> sửa tờ khai",,B36,Khách hàng,Xác nhận nhận hàng thành công
,,B36,Chứng từ đường biển,Gửi CS file hàng và tờ khai nháp,,B36,Chứng từ đường biển,Báo FWD truyền chính thức,,,,
,,B37,CS,"Oki >>> truyền chính thức
Không oki >>> sửa tờ khai",,B37,FWD,Truyền tk chính thức,,,,
,,B38,Chứng từ đường biển,Báo FWD truyền chính thức,,B38,Chứng từ đường biển,Chờ tàu cập và chờ tiếp nhận,,,,
,,B39,FWD,Truyền tk chính thức,,B39,Tiếp nhận HQ,Tiếp nhận tờ khai ,,,,
,,B40,Chứng từ đường biển,Chờ tàu cập và chờ tiếp nhận,,B40,Chứng từ đường biển,"Luồng tk vàng: Đóng thuế
Luồng đỏ: kiểm hàng >>> xử lý phát sinh",,,,
,,B41,Tiếp nhận HQ,Tiếp nhận tờ khai ,,B41,Chứng từ đường biển,Báo CS để khách hàng nạp thuế ,,,,
,,B42,Chứng từ đường biển,"Luồng tk vàng: Đóng thuế
Luồng đỏ: kiểm hàng >>> xử lý phát sinh",,B42,Chứng từ đường biển,Đóng thuế ( thông quan ),,,,
,,B43,Chứng từ đường biển,Báo CS để khách hàng nạp thuế ,,B43,Chứng từ đường biển,Xin địa chỉ trả hàng của KH,,,,
,,B44,Chứng từ đường biển,Đóng thuế ( thông quan ),,B44,Chứng từ đường biển,Lấy tờ khai thông quan và gửi BCT hoàn chỉnh cho kế toán,,,,
,,B45,Chứng từ đường biển,Xin địa chỉ trả hàng của KH,,B45,Chứng từ đường biển,Gửi báo giá 3 cho kế toán chi phí,,,,
,,B46,Chứng từ đường biển,Lấy tờ khai thông quan và gửi BCT hoàn chỉnh cho kế toán,,B46,FWD,Gọi xe và giao hàng cho khách,,,,
,,B47,Chứng từ đường biển,Gửi báo giá 3 cho kế toán chi phí,,B47,TBP vận hành,Xin xác nhận giao cont,,,,
,,B48,FWD,Gọi xe và giao hàng cho khách,,B48,Chứng từ đường biển,Phát sinh: kết hợp với FWD xử lý,,,,
,,B49,TBP vận hành,Xin xác nhận giao cont,,B49,Chứng từ đường biển,Báo Cs hàng giao thành công,,,,
,,B50,Chứng từ đường biển,Phát sinh: kết hợp với FWD xử lý,,B50,Khách hàng,Xác nhận nhận hàng thành công,,,,
,,B51,Chứng từ đường biển,Báo Cs hàng giao thành công,,,,,,,,
,,B52,Khách hàng,Xác nhận nhận hàng thành công,,,,,,,,
