Bảng giá,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,O/F,USD,Cont 20,,,x,,,,,,,QUINGDAO,HẢI PHÒNG,,600,600,USD,,,,
,,,,Tổng,,,,,,,,,,,,,HỒ CHÍ MINH,,1200,1350,USD,,,,
,,3,,Việt Nam,,,,,,,,,,,,SHEKOU,HẢI PHÒNG,,150,300,USD,,,,
,,"2,1",,THC (Phụ phí xếp dỡ tại cảng),USD ,Cont 20,,,,,,,,,Bảng giá,,HỒ CHÍ MINH,,650,900,USD,,,,
,,"2,2",,CIC  (Phí cân bằng cont),USD ,Cont 20,,,,,,,,,Bảng giá,NANSHA,HẢI PHÒNG,,150,350,USD,,,,
,,"2,3",,D/O (Phí chứng từ),USD ,Set,,,,,,,,,Bảng giá,,HỒ CHÍ MINH,,750,950,USD,,,,
,,"2,4",,Cleaning fee (Phí vệ sinh cont),USD ,Cont 20,,,,,,,,,Bảng giá,,,,,,,,,,
,,"2,5",,Handling fee (Phí truyền tờ khai),USD ,Set,,,,,,,,,Bảng giá,,,,,,,,,,
,,"2,6",,Phí thủ tục HQ NK ,VND ,Cont 20,,,,,,,,,Bảng giá,,,,,,,,,,
,,"2,7",,Phí nâng hạ cont ,VND ,Cont 20,,,,,,,,,Bảng giá,,,,,,,,,,
,,"2,8",,Phí CSHT ,VND ,Cont 20,,,,,,,,,Bảng giá,,,,,,,,,,
,,,,Tổng,,,,,,,,,,,,,,,,,,,,,
,,"2,9",,Phí trucking nội địa Việt Nam,VND ,Cont 20,,,,,,,,,Bảng giá,,,,,,,,,,
,,4,,Phí dịch vụ ,VND ,Set,,,3.000.000,,,,,,Bảng giá,,,,,,,,,,
,,,,Tổng,,,,,,,,,,,,,,,,,,,,,
,,,,Tổng chi phí logistics,,,,,,,,,,,,,,,,,,,,,
,,,,Tổng chi phí Thuế NK  + VAT theo packing list,,,,,,,,,,,,,,,,,,,,,
,,,,Tổng chi phí về tay,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Giá dự kiến,FCL cont 20 Hồ Chí Minh,STT,,ĐẦU MỤC,TIỀN TỆ,ĐƠN VỊ,ĐƠN GIÁ,,,SỐ LƯỢNG,TỔNG TRƯỚC THUẾ (VND),THUẾ SUẤT VAT,SỐ TIỀN VAT,TỔNG SAU THUẾ (VND),,,,,,,,,,,
,,,,,,,Giá 1,Giá 2,Giá 3,,,,,,,,,,,,,,,,
,,1,,Trung Quốc,,,,,,,,,,,,,,,,,,,,,
,,"1,1",,EXW Charge and local charge ,USD,Shipt,,,x,,,,,,,,,,,,,,,,
,,"1,2",,"Form E (<20 items add page fee usd
8/page) (Nếu có)",USD,Set,,,60,,,,,,,,,,,,,,,,
,,1,,DHL Express (Phí chuyển phát nhanh),USD,Set,,,30,,,,,,,,,,,,,,,,
,,,,Tổng,,,,,,,,,,,,,,,,,,,,,
,,2,,O/F,USD,Cont 20,,,x,,,,,,,,,,,,,,,,
,,,,Tổng,,,,,,,,,,,,,,,,,,,,,
,,3,,Việt Nam,,,,,,,,,,,,,,,,,,,,,
,,"2,1",,THC (Phụ phí xếp dỡ tại cảng),USD ,Cont 20,,,120,,,,,,,,,,,,,,,,
,,"2,2",,CIC  (Phí cân bằng cont),USD ,Cont 20,,,50,,,,,,,,,,,,,,,,
,,"2,3",,D/O (Phí chứng từ),USD ,Set,,,35,,,,,,,,,,,,,,,,
,,"2,4",,Cleaning fee (Phí vệ sinh cont),USD ,Cont 20,,,10,,,,,,,,,,,,,,,,
,,"2,5",,Handling fee (Phí truyền tờ khai),USD ,Set,,,20,,,,,,,,,,,,,,,,
,,"2,6",,Phí thủ tục HQ NK ,VND ,Cont 20,,,1.000.000,,,,,,,,,,,,,,,,
,,"2,7",,Phí nâng hạ cont ,VND ,Cont 20,,,2.500.000,,,,,,,,,,,,,,,,
,,"2,8",,Phí CSHT ,VND ,Cont 20,,,500.000,,,,,,,,,,,,,,,,
,,"2,9",,Phí trucking nội địa Việt Nam,VND ,Cont 20,,,x,,,,,,,,,,,,,,,,
,,,,Tổng,,,,,,,,,,,,,,,,,,,,,
,,4,,Phí dịch vụ ,VND ,Set,,,3.000.000,,,,,,,,,,,,,,,,
,,,,Tổng,,,,,,,,,,,,,,,,,,,,,
,,,,Tổng chi phí logistics,,,,,,,,,,,,,,,,,,,,,
,,,,Tổng chi phí Thuế NK  + VAT theo packing list,,,,,,,,,,,,,,,,,,,,,
,,,,Tổng chi phí về tay,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Giá dự kiến,FCL cont 40 Hải Phòng,STT,,ĐẦU MỤC,TIỀN TỆ,ĐƠN VỊ,ĐƠN GIÁ,,,SỐ LƯỢNG,TỔNG TRƯỚC THUẾ (VND),THUẾ SUẤT VAT,SỐ TIỀN VAT,TỔNG SAU THUẾ (VND),,,,,,,,,,,
,,,,,,,Giá 1,Giá 2,Giá 3,,,,,,,,,,,,,,,,
,,1,,Trung Quốc,,,,,,,,,,,,,,,,,,,,,
,,"1,1",,EXW Charge and local charge ,USD,Shipt,,,x,,,,,,,,,,,,,,,,
,,"1,2",,"Form E (<20 items add page fee usd
8/page) (Nếu có)",USD,Set,,,60,,,,,,,,,,,,,,,,
,,"1,3",,DHL Express (Phí chuyển phát nhanh),USD,Set,,,30,,,,,,,,,,,,,,,,
,,,,Tổng,,,,, ,,,,,,,,,,,,,,,,
,,2,,O/F,USD,Cont 40,,,,,,,,,,,,,,,,,,,
,,,,Tổng,,,,,,,,,,,,,,,,,,,,,
,,3,,Việt Nam,,,,,,,,,,,,,,,,,,,,,
,,"2,1",,THC (Phụ phí xếp dỡ tại cảng),USD ,Cont 40,,,170,,,,,,,,,,,,,,,,
,,"2,2",,CIC  (Phí cân bằng cont),USD ,Cont 40,,,240,,,,,,,,,,,,,,,,
,,"2,3",,D/O (Phí chứng từ),USD ,Set,,,35,,,,,,,,,,,,,,,,
,,"2,4",,Cleaning fee (Phí vệ sinh cont),USD ,Cont 40,,,15,,,,,,,,,,,,,,,,
,,"2,5",,Handling fee (Phí truyền tờ khai),USD ,Set,,,20,,,,,,,,,,,,,,,,
,,"2,6",,Phí thủ tục HQ NK ,VND ,Cont 40,,,1.000.000,,,,,,,,,,,,,,,,
,,"2,7",,Phí nâng hạ cont ,VND ,Cont 40,,,2.500.000,,,,,,,,,,,,,,,,
,,"2,8",,Phí CSHT ,VND ,Cont 40,,,500.000,,,,,,,,,,,,,,,,
,,"2,9",,Phí trucking nội địa Việt Nam,VND ,Cont 40,,,x,,,,,,,,,,,,,,,,
,,,,Tổng,,,,,,,,,,,,,,,,,,,,,
,,4,,Phí dịch vụ ,VND ,Set,,,3.000.000,,,,,,,,,,,,,,,,
,,,,Tổng,,,,,,,,,,,,,,,,,,,,,
,,,,Tổng chi phí logistics,,,,,,,,,,,,,,,,,,,,,
,,,,Tổng chi phí Thuế NK  + VAT theo packing list,,,,,,,,,,,,,,,,,,,,,
,,,,Tổng chi phí về tay,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Giá dự kiến,FCL cont 40 Hồ Chí Minh,STT,,ĐẦU MỤC,TIỀN TỆ,ĐƠN VỊ,ĐƠN GIÁ,,,SỐ LƯỢNG,TỔNG TRƯỚC THUẾ (VND),THUẾ SUẤT VAT,SỐ TIỀN VAT,TỔNG SAU THUẾ (VND),,,,,,,,,,,
,,,,,,,Giá 1,Giá 2,Giá 3,,,,,,,,,,,,,,,,
,,1,,Trung Quốc,,,,,,,,,,,,,,,,,,,,,
,,"1,1",,EXW Charge and local charge ,USD,Shipt,,,x,,,,,,,,,,,,,,,,
,,"1,2",,"Form E (<20 items add page fee usd
8/page) (Nếu có)",USD,Set,,,60,,,,,,,,,,,,,,,,
,,"1,3",,DHL Express (Phí chuyển phát nhanh),USD,Set,,,30,,,,,,,,,,,,,,,,
,,,,Tổng,,,,,,,,,,,,,,,,,,,,,
,,2,,O/F,USD,Cont 40,,,x,,,,,,,,,,,,,,,,
,,,,Tổng,,,,,,,,,,,,,,,,,,,,,
,,3,,Việt Nam,,,,,,,,,,,,,,,,,,,,,
,,"2,1",,THC (Phụ phí xếp dỡ tại cảng),USD ,Cont 40,,,120,,,,,,,,,,,,,,,,
,,"2,2",,CIC  (Phí cân bằng cont),USD ,Cont 40,,,50,,,,,,,,,,,,,,,,
,,"2,3",,D/O (Phí chứng từ),USD ,Set,,,35,,,,,,,,,,,,,,,,
,,"2,4",,Cleaning fee (Phí vệ sinh cont),USD ,Cont 40,,,10,,,,,,,,,,,,,,,,
,,"2,5",,Handling fee (Phí truyền tờ khai),USD ,Set,,,20,,,,,,,,,,,,,,,,
,,"2,6",,Phí thủ tục HQ NK ,VND ,Cont 40,,,1.000.000,,,,,,,,,,,,,,,,
,,"2,7",,Phí nâng hạ cont ,VND ,Cont 40,,,2.500.000,,,,,,,,,,,,,,,,
,,"2,8",,Phí CSHT ,VND ,Cont 40,,,500.000,,,,,,,,,,,,,,,,
,,"2,9",,Phí trucking nội địa Việt Nam,VND ,Cont 40,,,x,,,,,,,,,,,,,,,,
,,,,Tổng,,,,,,,,,,,,,,,,,,,,,
,,4,,Phí dịch vụ ,VND ,Cont 40,,,3.000.000,,,,,,,,,,,,,,,,
,,,,Tổng,,,,,,,,,,,,,,,,,,,,,
,,,,Tổng chi phí logistics,,,,,,,,,,,,,,,,,,,,,
